<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.17	29295.00	29407.00	29288.00	29322.45	108683	1091464	150
2020.01.20	29333.50	29370.50	29282.50	29352.00	35549	359601	150
2020.01.21	29353.00	29360.05	29171.00	29234.50	152399	1527158	150
2020.01.22	29242.00	29370.50	29153.50	29167.50	134108	1342328	150
2020.01.23	29162.00	29208.50	28983.00	29183.00	183026	1830809	150
2020.01.24	29195.00	29298.00	28850.50	28964.00	221210	2216794	150
2020.01.27	28776.00	28790.00	28463.00	28552.50	312107	3122202	150
2020.01.28	28531.00	28840.50	28527.00	28817.00	452025	4524702	150
2020.01.29	28796.50	28950.75	28713.00	28758.00	703490	7042861	150
2020.01.30	28770.00	28903.00	28494.00	28891.00	1438609	14390318	150
2020.01.31	28881.00	28941.00	28166.50	28287.95	1035599	10569956	150
2020.02.03	28219.00	28643.00	28206.50	28437.75	337732	3377914	100
2020.02.04	28429.00	28917.50	28356.75	28856.75	496552	4967804	100
2020.02.05	28863.50	29346.50	28763.75	29318.75	911063	9140645	150
2020.02.06	29328.00	29540.75	29254.75	29420.75	1021237	10217240	100
2020.02.07	29408.75	29420.75	29059.75	29087.45	1276518	12776071	100
2020.02.10	29065.00	29301.50	28903.50	29291.75	232482	2325426	100
2020.02.11	29283.00	29447.75	29216.50	29297.75	214712	2150021	100
2020.02.12	29309.00	29595.75	29265.50	29580.75	178941	1790909	100
2020.02.13	29554.00	29569.75	29270.75	29470.75	228302	2283797	100
2020.02.14	29463.00	29538.50	29286.50	29410.45	360426	3605985	100
2020.02.17	29428.00	29499.00	29419.75	29477.75	50851	510594	100
2020.02.18	29418.50	29418.50	29122.75	29250.75	194616	1947382	100
2020.02.19	29254.50	29417.50	29252.75	29363.75	132220	1324157	100
2020.02.20	29384.00	29454.75	28972.00	29175.75	310623	3107349	100
2020.02.21	29174.00	29198.75	28896.75	29003.95	463888	4638908	100
2020.02.24	28718.00	28774.00	27929.75	27997.00	593824	5938232	100
2020.02.25	27971.00	28271.50	27013.75	27183.75	628276	6282746	100
2020.02.26	27210.00	27557.75	26730.50	26867.75	712749	7127490	100
2020.02.27	26862.50	27011.75	25535.50	25563.00	753699	7536988	100
2020.02.28	25527.50	25790.50	24695.75	25706.45	834550	8345490	100
2020.03.02	25708.00	26731.50	24915.00	26559.00	860270	8602696	100
2020.03.03	26582.00	27079.75	25702.00	25830.00	765342	7653414	100
2020.03.04	25849.00	27094.50	25724.00	26966.75	620439	6204392	100
2020.03.05	26941.00	26997.75	25940.75	26152.50	614116	6141170	100
2020.03.06	26173.00	26305.75	25216.75	25804.95	745402	7454020	100
2020.03.09	25224.50	25240.00	23563.75	23758.50	404815	4047970	100
2020.03.10	23739.00	25037.50	23443.75	24970.50	716921	7169210	100
2020.03.11	24869.50	24900.50	23310.50	23586.00	661672	6616706	100
2020.03.12	23537.00	23856.50	20882.50	20923.00	610875	6108702	100
2020.03.13	20746.50	23120.50	20382.00	22824.45	553054	5530473	100
2020.03.16	22502.50	22502.50	20158.50	20401.50	301510	3015108	100
2020.03.17	20365.50	21396.00	19896.50	20896.00	590681	5906725	1100
2020.03.18	20843.00	20987.50	18898.50	20064.50	439486	4394856	1000
2020.03.19	20015.00	20515.50	18963.00	19716.50	650929	6509287	1000
2020.03.20	19699.50	21001.50	18945.50	19011.45	669872	6698732	210
2020.03.23	18203.50	19917.50	18190.00	18589.50	657900	6578988	1000
2020.03.24	18752.00	20814.50	18713.50	20783.50	627679	6276771	1000
2020.03.25	20759.50	21987.50	20382.50	21140.50	711331	7113294	1000
2020.03.26	21185.00	22546.50	20609.50	22540.50	657735	6577360	1000
2020.03.27	22577.50	22616.50	21413.50	21508.95	651843	6518433	210
2020.03.30	21031.50	22334.50	21028.50	22280.50	626100	6261003	300
2020.03.31	22265.50	22482.50	21739.50	21788.50	584857	5848571	300
2020.04.01	21771.50	21778.50	20749.05	20902.05	468411	4684098	250
2020.04.02	20924.70	21468.65	20600.65	21368.65	440112	4401144	380
2020.04.03	21370.05	21445.05	20839.05	21027.90	402783	4027962	210
2020.04.06	21263.45	22768.45	21233.45	22604.45	395379	3953860	240
2020.04.07	22578.15	23580.15	22414.40	22535.45	520028	5200340	240
2020.04.08	22525.15	23493.45	22345.65	23402.45	466947	4669541	240
2020.04.09	23393.15	23992.35	23117.75	23773.75	488024	4880356	240
2020.04.13	23875.15	23926.15	23063.15	23411.45	354372	3543888	240
2020.04.14	23425.15	24012.15	23345.45	24008.45	392832	3928410	240
2020.04.15	24056.15	24056.15	23200.35	23427.45	468114	4681194	240
2020.04.16	23434.15	23860.45	23174.35	23858.05	469955	4699634	200
2020.04.17	24179.35	24415.45	23792.55	24241.95	475705	4757094	200
2020.04.20	24179.35	24292.45	23537.45	23612.45	466790	4668010	200
2020.04.21	23556.95	23779.05	22913.35	23042.45	540152	5401718	200
2020.04.22	23077.35	23602.45	22916.45	23466.45	428235	4282476	200
2020.04.23	23458.35	23870.95	23327.45	23463.45	447093	4471188	170
2020.04.24	23432.35	23827.45	23265.45	23755.95	385028	3850588	200
2020.04.27	23761.45	24206.45	23650.45	24114.45	322754	3228348	170
2020.04.28	24110.35	24548.95	23986.45	24109.45	406201	4063015	200
2020.04.29	24138.35	24802.45	24085.45	24797.45	405233	4052874	200
2020.04.30	24797.35	24912.45	24188.95	24228.10	466967	4670032	200
2020.05.01	24129.35	24189.45	23637.05	23689.95	399287	3993416	200
2020.05.04	23442.35	23768.45	23319.45	23712.45	375222	3752644	200
2020.05.05	23700.35	24173.95	23686.35	23882.45	358350	3584402	200
2020.05.06	23864.35	24109.95	23607.85	23627.45	392637	3926758	200
2020.05.07	23603.35	24096.95	23521.45	23969.45	373455	3734951	200
2020.05.08	23960.35	24427.45	23943.75	24407.95	323062	3230930	200
2020.05.11	24320.95	24571.45	24075.95	24205.45	379083	3791724	200
2020.05.12	24210.35	24389.95	23565.45	23570.45	412764	4127920	200
2020.05.13	23583.60	23878.95	23073.45	23316.45	518995	5190324	200
2020.05.14	23339.35	23673.85	22789.55	23622.45	555427	5554566	200
2020.05.15	23602.35	23757.45	23327.95	23657.95	511031	5111102	200
2020.05.18	23682.35	24716.45	23613.45	24561.45	415344	4153949	200
2020.05.19	24565.35	24841.85	24201.45	24229.45	449507	4495590	200
2020.05.20	24198.35	24658.35	24151.45	24616.45	397957	3980701	200
2020.05.21	24618.35	24727.55	24365.45	24446.45	408948	4090506	200
2020.05.22	24440.35	24570.45	24167.45	24517.95	404096	4041912	200
2020.05.25	24447.35	24790.95	24440.35	24763.10	142100	1421519	200
2020.05.26	24755.35	25185.55	24681.45	25072.45	383764	3837980	200
2020.05.27	25063.35	25630.85	24974.45	25598.45	450915	4509297	200
2020.05.28	25611.35	25847.45	25375.50	25512.45	459294	4593060	200
2020.05.29	25484.35	25528.50	25043.45	25517.05	497809	4978172	170
2020.06.01	25259.35	25549.50	25125.35	25491.50	396273	3963068	170
2020.06.02	25484.35	25756.30	25325.90	25740.50	364019	3640982	170
2020.06.03	25732.35	26349.50	25704.50	26286.50	394378	3944676	170
2020.06.04	26276.35	26396.95	26082.55	26313.50	454202	4544031	170
2020.06.05	26306.35	27354.15	26238.50	27085.95	467199	4672892	170
2020.06.08	27149.35	27589.70	27060.50	27557.50	412838	4128740	170
2020.06.09	27596.35	27648.50	27151.55	27286.50	422687	4227993	170
2020.06.10	27285.35	27510.50	26919.30	26966.50	446524	4466004	170
2020.06.11	26956.35	27011.50	25077.70	25211.50	618060	6180600	170
2020.06.12	25210.35	25951.95	25078.15	25542.95	429442	4294756	170
2020.06.15	25220.35	25886.15	24546.60	25845.50	438848	4389127	170
2020.06.16	25852.35	26795.65	25800.95	26306.50	449964	4505881	170
2020.06.17	26252.35	26630.65	26063.50	26165.50	372230	3723025	170
2020.06.18	26119.35	26285.00	25755.50	26047.50	438002	4380479	170
2020.06.19	26033.35	26450.35	25635.85	25640.00	432687	4327595	170
2020.06.22	25460.35	26110.35	25361.50	26074.50	390524	3905696	170
2020.06.23	26080.35	26426.65	25642.50	26101.50	394365	3941840	0
2020.06.24	26093.35	26255.15	25290.95	25530.50	429828	4299025	170
2020.06.25	25510.35	25789.50	25131.50	25708.50	469464	4694905	170
2020.06.26	25664.35	25781.50	24968.50	25032.00	414675	4147855	170
2020.06.29	24907.00	25676.50	24876.50	25621.50	422617	4226415	170
2020.06.30	25606.35	25905.50	25435.35	25778.50	388711	3888237	170
2020.07.01	25781.35	26027.15	25515.35	25682.50	370447	3706792	170
2020.07.02	25673.35	26203.15	25639.50	25858.50	390301	3903620	170
2020.07.03	25846.35	26001.50	25562.35	25751.10	134204	1343802	170
2020.07.06	25824.35	26318.15	25795.35	26278.50	366026	3660933	170
2020.07.07	26283.35	26402.50	25864.30	25899.50	378192	3782675	170
2020.07.08	25901.35	26123.50	25783.50	26112.50	398651	3987489	170
2020.07.09	26128.35	26149.50	25516.95	25695.50	398218	3983996	170
2020.07.10	25708.35	26125.50	25413.50	26105.00	407533	4076285	170
2020.07.13	26250.00	26647.35	26037.50	26094.50	438719	4387923	170
2020.07.14	26123.35	26697.50	25998.15	26625.50	507228	5072863	170
2020.07.15	26808.35	27187.65	26693.35	26901.85	433199	4332823	170
2020.07.16	26928.35	26978.50	26589.35	26692.50	415503	4155650	170
2020.07.17	26696.35	26840.00	26620.15	26634.00	302615	3027892	170
2020.07.20	26658.35	26771.50	26446.15	26742.50	334695	3348075	170
2020.07.21	26729.35	27032.15	26706.50	26837.50	352126	3523274	170
2020.07.22	26834.60	27038.70	26639.35	26990.50	348453	3485791	170
2020.07.23	27001.35	27167.00	26557.70	26652.10	403764	4039055	170
2020.07.24	26657.35	26723.50	26400.15	26437.00	415422	4155858	170
2020.07.27	26409.00	26633.15	26341.50	26620.50	334199	3342444	170
2020.07.28	26620.35	26707.50	26364.30	26390.50	325777	3258447	170
2020.07.29	26395.35	26608.50	26295.85	26578.50	292179	2922971	170
2020.07.30	26573.00	26577.50	25993.15	26514.10	375556	3756041	170
2020.07.31	26528.35	26560.50	26014.35	26482.95	473548	4735664	170
2020.08.03	26488.35	26715.65	26308.10	26672.70	365996	3662484	170
2020.08.04	26672.70	26854.70	26548.70	26838.50	377653	3798039	170
2020.08.05	26849.70	27226.00	26776.70	27181.70	342496	3444823	170
2020.08.06	27168.70	27411.00	27036.70	27396.50	411931	4132288	170
2020.08.07	27379.70	27467.50	27201.70	27453.95	422903	4239538	170
2020.08.10	27435.70	27810.00	27355.70	27780.70	370323	3721270	170
2020.08.11	27764.70	28160.65	27628.55	27761.70	436586	4381093	170
2020.08.12	27773.70	28049.50	27700.70	27955.70	395142	3955160	170
2020.08.13	27940.70	28009.70	27786.70	27909.70	380884	3825052	170
2020.08.14	27904.70	27989.50	27673.70	27888.95	324582	3266601	170
2020.08.17	27913.35	28010.50	27820.95	27851.50	253424	2536496	170
2020.08.18	27841.35	27973.35	27665.35	27800.50	292659	2928525	170
2020.08.19	27791.35	27922.15	27646.50	27680.50	286847	2871135	170
2020.08.20	27682.35	27788.30	27459.50	27757.50	316975	3171356	170
2020.08.21	27752.35	27965.50	27532.65	27921.00	372973	3731466	170
2020.08.24	27995.35	28318.50	27935.50	28292.50	363334	3635443	170
2020.08.25	28292.35	28533.50	28097.15	28251.50	353084	3532758	170
2020.08.26	28249.35	28393.50	28151.50	28373.15	341238	3414711	170
2020.08.27	28373.35	28644.30	28237.00	28553.50	433220	4333719	170
2020.08.28	28559.35	28764.90	28492.15	28674.00	399588	3997444	170
2020.08.31	28716.35	28815.50	28369.15	28420.10	362162	3622614	170
2020.09.01	28399.35	28679.50	28285.75	28675.50	392951	3930064	200
2020.09.02	28660.15	29167.70	28635.00	29089.85	427790	4278248	210
2020.09.03	29090.15	29196.95	28070.70	28374.50	543662	5436913	210
2020.09.04	28314.15	28609.80	27661.95	28084.95	649789	6497984	210
2020.09.07	28115.15	28356.95	27903.40	28310.90	217932	2179482	210
2020.09.08	28320.00	28426.50	27462.90	27566.50	590400	5904073	210
2020.09.09	27290.15	28209.50	27196.50	27957.50	472043	4720529	210
2020.09.10	27959.15	28174.95	27445.30	27569.90	505779	5057942	210
2020.09.11	27582.15	27831.95	27447.15	27641.95	331442	3315185	170
2020.09.14	27800.15	28089.95	27718.15	27957.90	338720	3387728	210
2020.09.15	27960.15	28245.15	27927.50	28027.50	268544	2686468	210
2020.09.16	28039.15	28369.95	27963.50	28061.50	311063	3111235	210
2020.09.17	28070.15	28113.20	27544.50	27913.50	439825	4398450	210
2020.09.18	27890.15	27996.50	27486.75	27720.95	400047	4000754	210
2020.09.21	27683.15	27779.15	26704.95	27150.90	460816	4608325	210
2020.09.22	27136.15	27324.50	26974.95	27299.50	447909	4479254	210
2020.09.23	27347.15	27511.80	26709.50	26813.50	452113	4521279	210
2020.09.24	26791.15	27093.95	26530.95	26857.50	537845	5378572	210
2020.09.25	26876.15	27238.50	26549.45	27151.95	456718	4567359	210
2020.09.28	27191.15	27722.95	27190.15	27630.50	426962	4270003	210
2020.09.29	27620.15	27742.15	27337.95	27496.50	413102	4131353	210
2020.09.30	27486.15	28027.95	27163.50	27698.90	550519	5505364	210
2020.10.01	27749.00	28080.50	27664.75	27808.50	505416	5054302	210
2020.10.02	27807.15	27863.15	27241.65	27747.95	487817	4878261	210
2020.10.05	27835.15	28159.70	27762.50	28122.50	395614	3943097	0
2020.10.06	28126.15	28354.95	27653.50	27679.50	413376	4134130	210
2020.10.07	27696.15	28371.70	27661.15	28317.50	370392	3704003	210
2020.10.08	28295.15	28567.45	28270.75	28507.50	342780	3428025	210
2020.10.09	28505.15	28688.95	28443.75	28665.95	293494	2935258	210
2020.10.12	28592.15	28965.95	28552.50	28916.50	349772	3497843	210
2020.10.13	28920.15	28941.50	28607.95	28686.50	430208	4302371	210
2020.10.14	28690.00	28846.80	28462.95	28531.50	374491	3745382	210
2020.10.15	28538.15	28573.50	28156.90	28509.50	403380	4033947	210
2020.10.16	28529.15	28855.15	28455.80	28546.95	358595	3586128	210
2020.10.19	28607.15	28794.50	28145.70	28299.50	333991	3340252	210
2020.10.20	28312.15	28581.15	28165.50	28252.50	376750	3767633	210
2020.10.21	28322.15	28490.50	28192.95	28245.50	388004	3880215	210
2020.10.22	28221.15	28422.15	28004.50	28386.90	352586	3526100	210
2020.10.23	28428.15	28492.80	28147.75	28307.95	331641	3316719	210
2020.10.26	28224.15	28251.50	27360.95	27688.50	402348	4023675	210
2020.10.27	27683.15	27817.15	27336.50	27336.50	374743	3747703	210
2020.10.28	27345.15	27371.50	26494.50	26567.50	512017	5120426	210
2020.10.29	26597.15	26906.85	26271.15	26436.90	504741	5047511	210
2020.10.30	26372.15	26632.55	26060.15	26606.95	558105	5581092	210
2020.11.02	26459.15	27045.95	26277.50	26947.50	457400	4574105	210
2020.11.03	26944.15	27641.50	26933.15	27502.50	393495	3935039	210
2020.11.04	27509.15	28307.75	27021.50	27896.90	538142	5381432	210
2020.11.05	27918.15	28498.95	27757.15	28458.90	436878	4368821	210
2020.11.06	28427.15	28566.80	28077.80	28390.95	425145	4251486	210
2020.11.09	28485.15	30097.80	28423.40	29171.90	495676	4956760	210
2020.11.10	29198.15	29491.50	28887.50	29456.50	530018	5300204	210
2020.11.11	29458.15	29673.80	29283.50	29460.50	391367	3913735	210
2020.11.12	29447.15	29456.15	28908.50	29154.50	411346	4113495	210
2020.11.13	29127.15	29565.50	28942.50	29495.95	324104	3241099	210
2020.11.16	29530.15	30079.55	29522.15	29989.50	340586	3405923	210
2020.11.17	29944.15	29973.15	29518.15	29784.50	340312	3403351	210
2020.11.18	29779.15	29965.80	29403.90	29434.50	355383	3553998	210
2020.11.19	29429.15	29538.50	29240.95	29364.50	342046	3420511	210
2020.11.20	29326.15	29500.80	29185.15	29233.95	294870	2948747	210
2020.11.23	29198.15	29676.50	29175.40	29608.50	273474	2735548	180
2020.11.24	29613.30	30123.10	29605.30	30094.50	294759	2948631	180
2020.11.25	30078.30	30219.50	29808.10	29899.50	380522	3805558	180
2020.11.26	29914.30	29960.50	29787.10	29822.10	79269	795753	180
2020.11.27	29814.65	30024.55	29742.65	29938.65	143720	1449368	170
2020.11.30	29967.65	30004.65	29457.65	29706.65	335458	3357330	170
2020.12.01	29681.65	30083.65	29641.65	29771.65	290013	2903954	170
2020.12.02	29772.65	29926.50	29604.65	29903.65	266189	2666590	170
2020.12.03	29917.65	30109.65	29776.65	29965.65	224678	2255065	170
2020.12.04	29958.65	30227.50	29945.50	30161.45	197879	1991964	170
2020.12.07	30191.65	30275.65	29973.50	30003.65	218486	2189971	170
2020.12.08	29994.65	30249.50	29867.65	30187.65	217556	2184388	170
2020.12.09	30226.65	30317.65	29957.65	30067.65	299183	2990006	0
2020.12.10	30068.65	30160.65	29883.65	30019.65	308221	3089020	170
2020.12.11	30062.65	30104.50	29739.65	30057.95	215397	2170102	170
2020.12.14	30211.65	30352.65	29878.50	29937.65	259656	2608234	170
2020.12.15	29948.65	30270.50	29864.65	30237.65	230752	2316157	170
2020.12.16	30247.65	30344.65	30106.00	30191.65	222747	2244699	170
2020.12.17	30201.65	30358.65	30173.65	30326.65	179586	1813064	170
2020.12.18	30322.65	30388.65	30037.50	30382.95	255542	2571051	170
2020.12.21	30421.65	30435.65	29430.65	30201.65	502479	5028270	170
2020.12.22	30211.65	30259.65	29997.50	30023.50	383454	3837108	170
2020.12.23	30023.30	30303.10	29855.50	30201.50	293957	2940340	180
2020.12.24	30196.30	30270.80	30118.60	30218.80	143752	1439365	210
2020.12.28	30099.30	30540.10	30098.30	30414.85	240803	2409198	180
2020.12.29	30445.30	30625.50	30291.90	30398.50	296044	2961710	180
2020.12.30	30396.30	30540.10	30334.50	30449.50	256155	2563132	180
2020.12.31	30452.30	30484.50	30356.10	30410.10	139387	1398848	180
2021.01.04	30624.30	30811.95	29880.10	30237.50	440935	4409992	180
2021.01.05	30230.30	30499.00	30087.50	30392.65	354560	3545929	170
2021.01.06	30383.65	31021.65	30263.65	30886.65	517705	5177860	170
2021.01.07	30899.65	31196.65	30809.65	31036.65	303676	3038768	170
2021.01.08	31043.65	31259.65	30797.55	31136.45	341879	3421836	170
2021.01.11	31133.15	31139.50	30750.65	31019.50	320712	3209588	170
2021.01.12	31042.30	31126.30	30894.10	31082.05	330901	3309545	180
2021.01.13	31070.30	31174.50	30987.95	31084.50	275840	2759539	180
2021.01.14	31101.90	31230.90	30997.50	31020.50	274828	2748482	260
2021.01.15	31031.90	31072.50	30622.50	30732.95	380663	3806748	210
2021.01.18	30765.90	30866.55	30723.15	30852.65	117789	1178928	260
2021.01.19	30843.90	31089.70	30843.90	30944.50	259282	2593152	260
2021.01.20	30964.90	31243.70	30882.50	31181.15	258532	2585566	260
2021.01.21	31176.90	31296.90	31124.70	31171.50	218204	2182345	240
2021.01.22	31165.90	31191.85	30894.90	31000.95	336283	3363058	210
2021.01.25	31029.90	31120.15	30562.70	30961.50	444317	4443468	140
2021.01.26	30952.90	31122.90	30773.50	30955.50	382831	3828461	140
2021.01.27	30961.90	30990.50	30153.50	30256.65	548988	5490048	140
2021.01.28	30269.90	30941.90	30051.50	30545.50	638162	6381620	260
2021.01.29	30547.90	30624.50	29854.90	29928.95	686664	6866640	210
2021.02.01	29870.90	30338.50	29655.50	30216.50	509249	5092514	260
2021.02.02	30221.90	30846.70	30173.50	30706.85	404522	4045310	250
2021.02.03	30711.90	30815.90	30522.70	30808.85	378755	3787700	240
2021.02.04	30795.90	31089.50	30648.85	31071.85	318183	3181974	140
2021.02.05	31062.90	31250.90	31030.15	31176.95	302722	3027605	140
2021.02.08	31219.90	31398.30	31159.15	31389.85	277116	2771560	250
2021.02.09	31390.90	31438.50	31244.70	31412.50	264312	2643632	240
2021.02.10	31416.90	31547.20	31222.90	31468.50	359831	3598867	240
2021.02.11	31441.90	31539.90	31249.50	31409.85	325336	3254170	240
2021.02.12	31410.90	31489.30	31294.90	31481.20	275413	2755170	140
2021.02.15	31504.90	31691.70	31500.90	31664.70	94704	947970	140
2021.02.16	31644.90	31732.50	31446.70	31554.50	339943	3399783	240
2021.02.17	31546.90	31645.70	31349.50	31618.85	385325	3853527	250
2021.02.18	31627.90	31695.50	31293.70	31507.50	404079	4040926	240
2021.02.19	31498.90	31646.90	31368.50	31490.95	391200	3912137	140
2021.02.22	31549.90	31646.70	31249.20	31561.50	467273	4672826	250
2021.02.23	31559.90	31672.50	31161.50	31553.50	564902	5649176	250
